-0.094890	-0.094890	-0.094890	-0.094890	-0.094890	-0.094890	-0.094890	-0.094890	-0.094890	-0.094890	-0.094890	-0.094890	-0.094890	-0.094890	-0.094890	-0.094890	-0.094890	-0.094890	-0.094890	-0.094890
-0.084896	-0.084896	-0.084896	-0.084896	-0.084896	-0.084896	-0.084896	-0.084896	-0.084896	-0.084896	-0.084896	-0.084896	-0.084896	-0.084896	-0.084896	-0.084896	-0.084896	-0.084896	-0.084896	-0.084896
-0.074902	-0.074902	-0.074902	-0.074902	-0.074902	-0.074902	-0.074902	-0.074902	-0.074902	-0.074902	-0.074902	-0.074902	-0.074902	-0.074902	-0.074902	-0.074902	-0.074902	-0.074902	-0.074902	-0.074902
-0.064909	-0.064909	-0.064909	-0.064909	-0.064909	-0.064909	-0.064909	-0.064909	-0.064909	-0.064909	-0.064909	-0.064909	-0.064909	-0.064909	-0.064909	-0.064909	-0.064909	-0.064909	-0.064909	-0.064909
-0.054915	-0.054915	-0.054915	-0.054915	-0.054915	-0.054915	-0.054915	-0.054915	-0.054915	-0.054915	-0.054915	-0.054915	-0.054915	-0.054915	-0.054915	-0.054915	-0.054915	-0.054915	-0.054915	-0.054915
-0.044921	-0.044921	-0.044921	-0.044921	-0.044921	-0.044921	-0.044921	-0.044921	-0.044921	-0.044921	-0.044921	-0.044921	-0.044921	-0.044921	-0.044921	-0.044921	-0.044921	-0.044921	-0.044921	-0.044921
-0.034928	-0.034928	-0.034928	-0.034928	-0.034928	-0.034928	-0.034928	-0.034928	-0.034928	-0.034928	-0.034928	-0.034928	-0.034928	-0.034928	-0.034928	-0.034928	-0.034928	-0.034928	-0.034928	-0.034928
-0.024934	-0.024934	-0.024934	-0.024934	-0.024934	-0.024934	-0.024934	-0.024934	-0.024934	-0.024934	-0.024934	-0.024934	-0.024934	-0.024934	-0.024934	-0.024934	-0.024934	-0.024934	-0.024934	-0.024934
-0.014941	-0.014941	-0.014941	-0.014941	-0.014941	-0.014941	-0.014941	-0.014941	-0.014941	-0.014941	-0.014941	-0.014941	-0.014941	-0.014941	-0.014941	-0.014941	-0.014941	-0.014941	-0.014941	-0.014941
-0.004947	-0.004947	-0.004947	-0.004947	-0.004947	-0.004947	-0.004947	-0.004947	-0.004947	-0.004947	-0.004947	-0.004947	-0.004947	-0.004947	-0.004947	-0.004947	-0.004947	-0.004947	-0.004947	-0.004947
0.005047	0.005047	0.005047	0.005047	0.005047	0.005047	0.005047	0.005047	0.005047	0.005047	0.005047	0.005047	0.005047	0.005047	0.005047	0.005047	0.005047	0.005047	0.005047	0.005047
0.015040	0.015040	0.015040	0.015040	0.015040	0.015040	0.015040	0.015040	0.015040	0.015040	0.015040	0.015040	0.015040	0.015040	0.015040	0.015040	0.015040	0.015040	0.015040	0.015040
0.025034	0.025034	0.025034	0.025034	0.025034	0.025034	0.025034	0.025034	0.025034	0.025034	0.025034	0.025034	0.025034	0.025034	0.025034	0.025034	0.025034	0.025034	0.025034	0.025034
0.035028	0.035028	0.035028	0.035028	0.035028	0.035028	0.035028	0.035028	0.035028	0.035028	0.035028	0.035028	0.035028	0.035028	0.035028	0.035028	0.035028	0.035028	0.035028	0.035028
0.045021	0.045021	0.045021	0.045021	0.045021	0.045021	0.045021	0.045021	0.045021	0.045021	0.045021	0.045021	0.045021	0.045021	0.045021	0.045021	0.045021	0.045021	0.045021	0.045021
0.055015	0.055015	0.055015	0.055015	0.055015	0.055015	0.055015	0.055015	0.055015	0.055015	0.055015	0.055015	0.055015	0.055015	0.055015	0.055015	0.055015	0.055015	0.055015	0.055015
0.065009	0.065009	0.065009	0.065009	0.065009	0.065009	0.065009	0.065009	0.065009	0.065009	0.065009	0.065009	0.065009	0.065009	0.065009	0.065009	0.065009	0.065009	0.065009	0.065009
0.075002	0.075002	0.075002	0.075002	0.075002	0.075002	0.075002	0.075002	0.075002	0.075002	0.075002	0.075002	0.075002	0.075002	0.075002	0.075002	0.075002	0.075002	0.075002	0.075002
0.084996	0.084996	0.084996	0.084996	0.084996	0.084996	0.084996	0.084996	0.084996	0.084996	0.084996	0.084996	0.084996	0.084996	0.084996	0.084996	0.084996	0.084996	0.084996	0.084996
0.094990	0.094990	0.094990	0.094990	0.094990	0.094990	0.094990	0.094990	0.094990	0.094990	0.094990	0.094990	0.094990	0.094990	0.094990	0.094990	0.094990	0.094990	0.094990	0.094990
