-0.126727	-0.126727	-0.126727	-0.126727	-0.126727	-0.126727	-0.126727	-0.126727	-0.126727	-0.126727	-0.126727	-0.126727	-0.126727	-0.126727	-0.126727
-0.108546	-0.108546	-0.108546	-0.108546	-0.108546	-0.108546	-0.108546	-0.108546	-0.108546	-0.108546	-0.108546	-0.108546	-0.108546	-0.108546	-0.108546
-0.090366	-0.090366	-0.090366	-0.090366	-0.090366	-0.090366	-0.090366	-0.090366	-0.090366	-0.090366	-0.090366	-0.090366	-0.090366	-0.090366	-0.090366
-0.072185	-0.072185	-0.072185	-0.072185	-0.072185	-0.072185	-0.072185	-0.072185	-0.072185	-0.072185	-0.072185	-0.072185	-0.072185	-0.072185	-0.072185
-0.054005	-0.054005	-0.054005	-0.054005	-0.054005	-0.054005	-0.054005	-0.054005	-0.054005	-0.054005	-0.054005	-0.054005	-0.054005	-0.054005	-0.054005
-0.035824	-0.035824	-0.035824	-0.035824	-0.035824	-0.035824	-0.035824	-0.035824	-0.035824	-0.035824	-0.035824	-0.035824	-0.035824	-0.035824	-0.035824
-0.017644	-0.017644	-0.017644	-0.017644	-0.017644	-0.017644	-0.017644	-0.017644	-0.017644	-0.017644	-0.017644	-0.017644	-0.017644	-0.017644	-0.017644
0.000537	0.000537	0.000537	0.000537	0.000537	0.000537	0.000537	0.000537	0.000537	0.000537	0.000537	0.000537	0.000537	0.000537	0.000537
0.018717	0.018717	0.018717	0.018717	0.018717	0.018717	0.018717	0.018717	0.018717	0.018717	0.018717	0.018717	0.018717	0.018717	0.018717
0.036898	0.036898	0.036898	0.036898	0.036898	0.036898	0.036898	0.036898	0.036898	0.036898	0.036898	0.036898	0.036898	0.036898	0.036898
0.055079	0.055079	0.055079	0.055079	0.055079	0.055079	0.055079	0.055079	0.055079	0.055079	0.055079	0.055079	0.055079	0.055079	0.055079
0.073259	0.073259	0.073259	0.073259	0.073259	0.073259	0.073259	0.073259	0.073259	0.073259	0.073259	0.073259	0.073259	0.073259	0.073259
0.091440	0.091440	0.091440	0.091440	0.091440	0.091440	0.091440	0.091440	0.091440	0.091440	0.091440	0.091440	0.091440	0.091440	0.091440
0.109620	0.109620	0.109620	0.109620	0.109620	0.109620	0.109620	0.109620	0.109620	0.109620	0.109620	0.109620	0.109620	0.109620	0.109620
0.127801	0.127801	0.127801	0.127801	0.127801	0.127801	0.127801	0.127801	0.127801	0.127801	0.127801	0.127801	0.127801	0.127801	0.127801
