IntervalEnding,Coast,East,FarWest,North,NorthCentral,SouthCentral,Southern,West
8/11/2021 3:50,13469.80762,1615.060669,3945.864502,1294.487061,13956.98145,6787.770996,3320.424316,1423.75708
8/11/2021 3:55,13465.07324,1613.568115,3945.323975,1292.775146,13941.26074,6782.882324,3316.861328,1420.272827
8/11/2021 4:00,13461.90039,1612.233032,3945.161621,1291.119263,13927.92285,6779.238281,3313.7771,1416.67627
8/11/2021 4:05,13460.29004,1611.055054,3945.378174,1289.519531,13916.9668,6776.838379,3311.171631,1412.967285
8/11/2021 4:10,13351.81055,1635.8479,3956.449707,1282.475464,13764.81738,6767.115723,3279.446045,1374.736694
8/11/2021 4:15,13461.75488,1609.171143,3946.946777,1286.488525,13902.20215,6775.771973,3307.396973,1405.21228
8/11/2021 4:20,13464.83008,1608.46521,3948.298828,1285.057251,13898.39258,6777.105469,3306.227539,1401.16626
8/11/2021 4:25,13364.35547,1633.049316,3966.515625,1276.755249,13752.56934,6767.264648,3276.692139,1360.89209
8/11/2021 4:30,13475.66699,1607.524902,3952.138916,1282.363159,13897.92188,6783.505859,3305.325439,1392.737061
8/11/2021 4:35,13483.42871,1607.290771,3954.626709,1281.100342,13901.26074,6788.572266,3305.592529,1388.354004
8/11/2021 4:40,13492.75195,1607.213867,3957.493164,1279.893677,13906.98047,6794.883301,3306.338379,1383.858521
8/11/2021 4:45,13503.6377,1607.294312,3960.738037,1278.743042,13915.08398,6802.438965,3307.562988,1379.250732
8/11/2021 4:50,13516.08594,1607.531982,3964.361572,1277.648682,13925.56836,6811.239258,3309.266357,1374.530518
8/11/2021 4:55,13530.09473,1607.927002,3968.363525,1276.610474,13938.43652,6821.283203,3311.448486,1369.697998
8/11/2021 5:00,13452.5332,1645.892334,3979.325439,1270.344116,13813.76953,6816.188965,3286.958984,1330.015869
8/11/2021 5:05,13393.13672,1622.568237,4005.650879,1273.477905,13621.11328,6792.28125,3263.471191,1311.864868
8/11/2021 5:10,13492.87305,1654.543335,3980.239746,1270.296021,13854.34082,6842.658691,3294.184814,1321.561279
