BusNum(in 14 bus),H,D,m,gamma
1,2.64,4,1990.5,1508
2,2.61,4,1967.9,1508
3,3.42,4,2578.6,1508
6,2.45,4,1847.3,1508
8,3.59,4,2706.8,1508
