INTERVAL_ENDING,SYSTEM_WIDE,LZ_SOUTH_HOUSTON,LZ_WEST,LZ_NORTH,DSTFlag
08/11/2021 13:00,12962.52,2353.19,9670.46,938.86,N
08/11/2021 13:05,12996.5,2359.62,9707.15,929.73,N
08/11/2021 13:10,13057.61,2369.84,9765.49,922.29,N
08/11/2021 13:15,12915.47,2403.46,9626.74,885.27,N
08/11/2021 13:20,12714.57,2415.69,9468.51,830.36,N
08/11/2021 13:25,12653.45,2429.51,9401.67,822.27,N
08/11/2021 13:30,12489.82,2384.85,9287.83,817.13,N
08/11/2021 13:35,12693.34,2451.46,9354.17,887.71,N
08/11/2021 13:40,12972.75,2534.61,9548.53,889.61,N
08/11/2021 13:45,13160.27,2618.65,9648.21,893.41,N
08/11/2021 13:50,13200.43,2629.46,9688.22,882.75,N
08/11/2021 13:55,13286.81,2682.86,9741.6,862.35,N
