INTERVAL_ENDING,SYSTEM_WIDE,LZ_SOUTH_HOUSTON,LZ_WEST,LZ_NORTH,DSTFlag
08/11/2021 12:00,13148.39,2327.1,9842.42,978.87,N
08/11/2021 12:05,13159.65,2333.01,9845.86,980.79,N
08/11/2021 12:10,13171.83,2329.65,9869.29,972.9,N
08/11/2021 12:15,13143.96,2311.89,9857.63,974.44,N
08/11/2021 12:20,13112.94,2331.93,9836.71,944.3,N
08/11/2021 12:25,13162.36,2335.09,9882.89,944.38,N
08/11/2021 12:30,13076.72,2331.86,9816.6,928.26,N
08/11/2021 12:35,13065.05,2345.14,9774.93,944.98,N
08/11/2021 12:40,13019.21,2362.02,9707.37,949.82,N
08/11/2021 12:45,13123.44,2386.39,9790.66,946.39,N
08/11/2021 12:50,13168.33,2385.49,9833.65,949.18,N
08/11/2021 12:55,13046.45,2349.37,9750.48,946.6,N
