INTERVAL_ENDING,SYSTEM_WIDE,LZ_SOUTH_HOUSTON,LZ_WEST,LZ_NORTH,DSTFlag
08/11/2021 10:00,15622.49,2593.46,12075.52,953.5,N
08/11/2021 10:05,15503.21,2614.97,11903.19,985.04,N
08/11/2021 10:10,15301.39,2613.67,11710.36,977.36,N
08/11/2021 10:15,15185.9,2572.75,11640.96,972.18,N
08/11/2021 10:20,15420.59,2603.19,11852.85,964.54,N
08/11/2021 10:25,15365.19,2598.08,11805.92,961.2,N
08/11/2021 10:30,15190,2578.15,11640.37,971.49,N
08/11/2021 10:35,15164.81,2574.64,11602,988.17,N
08/11/2021 10:40,15005.73,2569.44,11457.59,978.7,N
08/11/2021 10:45,14834.29,2552.76,11299.95,981.58,N
08/11/2021 10:50,14838.5,2544.42,11286.66,1007.42,N
08/11/2021 10:55,14721.33,2545.09,11153.88,1022.36,N
