INTERVAL_ENDING,SYSTEM_WIDE,LZ_SOUTH_HOUSTON,LZ_WEST,LZ_NORTH,DSTFlag
08/11/2021 19:00,15064.98,4310.07,9825.26,929.66,N
08/11/2021 19:05,15070.84,4299.37,9854.27,917.19,N
08/11/2021 19:10,15073.69,4362.58,9781.17,929.94,N
08/11/2021 19:15,15071.83,4398.57,9746.95,926.31,N
08/11/2021 19:20,15045.94,4450.69,9701.39,893.87,N
08/11/2021 19:25,15032.57,4441.43,9704.63,886.51,N
08/11/2021 19:30,14845.87,4359.1,9629.92,856.85,N
08/11/2021 19:35,14772.87,4328.03,9602.73,842.11,N
08/11/2021 19:40,14893.71,4490.81,9568.06,834.84,N
08/11/2021 19:45,14915.3,4463.79,9625.92,825.58,N
08/11/2021 19:50,14796.32,4391.13,9568.65,836.54,N
08/11/2021 19:55,14807.68,4411.11,9560.08,836.49,N
