INTERVAL_ENDING,SYSTEM_WIDE,LZ_SOUTH_HOUSTON,LZ_WEST,LZ_NORTH,DSTFlag
08/11/2021 15:00,14845.95,3326.17,10676.82,842.96,N
08/11/2021 15:05,14710.6,3263,10612.78,834.81,N
08/11/2021 15:10,14648.76,3272.7,10517.86,858.21,N
08/11/2021 15:15,14651.12,3267.86,10525.19,858.08,N
08/11/2021 15:20,14732.26,3262.95,10621.52,847.79,N
08/11/2021 15:25,14716.65,3292.87,10574.56,849.22,N
08/11/2021 15:30,14639.85,3341.35,10430.63,867.87,N
08/11/2021 15:35,14610.15,3317.8,10428.42,863.93,N
08/11/2021 15:40,14742.53,3380.26,10493.77,868.5,N
08/11/2021 15:45,14947.99,3469.43,10633.63,844.92,N
08/11/2021 15:50,14938.25,3442.27,10601.58,894.4,N
08/11/2021 15:55,15055.18,3508.52,10668.45,878.21,N
