INTERVAL_ENDING,SYSTEM_WIDE,LZ_SOUTH_HOUSTON,LZ_WEST,LZ_NORTH,DSTFlag
08/11/2021 18:00,15630.84,4323.34,10418.18,889.33,N
08/11/2021 18:05,15492.27,4308.17,10296.18,887.93,N
08/11/2021 18:10,15588.34,4364.88,10333.21,890.24,N
08/11/2021 18:15,15467.93,4352.69,10250.29,864.95,N
08/11/2021 18:20,15470.76,4338.01,10246.38,886.37,N
08/11/2021 18:25,15409.3,4319.76,10201.18,888.36,N
08/11/2021 18:30,15306.09,4335.35,10071.78,898.96,N
08/11/2021 18:35,15215.32,4332.39,9983.66,899.28,N
08/11/2021 18:40,15165.74,4289.36,9955.98,920.39,N
08/11/2021 18:45,15133.66,4296.95,9912.03,924.69,N
08/11/2021 18:50,15118.53,4302.46,9887.61,928.45,N
08/11/2021 18:55,15106.9,4336.03,9837.67,933.2,N
