INTERVAL_ENDING,SYSTEM_WIDE,LZ_SOUTH_HOUSTON,LZ_WEST,LZ_NORTH,DSTFlag
08/11/2021 14:00,13289.38,2761.81,9698.85,828.72,N
08/11/2021 14:05,13527.79,2899.01,9797.15,831.64,N
08/11/2021 14:10,13681.06,3034.34,9794.57,852.15,N
08/11/2021 14:15,13920.71,3142.97,9936.67,841.07,N
08/11/2021 14:20,14041.19,3221.23,9970.61,849.35,N
08/11/2021 14:25,14109.85,3243.75,10025.89,840.21,N
08/11/2021 14:30,14164.22,3233.49,10099.32,831.4,N
08/11/2021 14:35,14343.26,3295.73,10194.58,852.94,N
08/11/2021 14:40,14431.22,3287.77,10311.66,831.79,N
08/11/2021 14:45,14405.16,3304.67,10278.61,821.87,N
08/11/2021 14:50,14558.78,3336.35,10382.31,840.13,N
08/11/2021 14:55,14720.6,3353.55,10534.25,832.8,N
