INTERVAL_ENDING,SYSTEM_WIDE,LZ_SOUTH_HOUSTON,LZ_WEST,LZ_NORTH,DSTFlag
08/11/2021 22:00,18341.76,4342.24,12802.84,1196.69,N
08/11/2021 22:05,18367.03,4267.04,12892.02,1207.97,N
08/11/2021 22:10,18668.23,4232.86,13213.5,1221.87,N
08/11/2021 22:15,18827.94,4186.94,13424.33,1216.67,N
08/11/2021 22:20,18941.56,4158.13,13568.27,1215.16,N
08/11/2021 22:25,19051.12,4131.33,13717.18,1202.61,N
08/11/2021 22:30,19234.48,4141.59,13892.17,1200.72,N
08/11/2021 22:35,19318.09,4122.85,13994.94,1200.3,N
08/11/2021 22:40,19429.4,4086.3,14141.25,1201.86,N
08/11/2021 22:45,19456.53,4023.89,14231.21,1201.43,N
08/11/2021 22:50,19592.93,3977.94,14398.61,1216.37,N
08/11/2021 22:55,19735.76,3925.11,14581.68,1228.97,N
