INTERVAL_ENDING,SYSTEM_WIDE,LZ_SOUTH_HOUSTON,LZ_WEST,LZ_NORTH,DSTFlag
08/11/2021 03:00,19633.34,2992.19,15592.74,1048.4,N
08/11/2021 03:05,19608.35,2975.11,15570.61,1062.63,N
08/11/2021 03:10,19494.17,2935.69,15480.71,1077.77,N
08/11/2021 03:15,19507.27,2912.08,15503.82,1091.37,N
08/11/2021 03:20,19473.15,2882.24,15494.42,1096.49,N
08/11/2021 03:25,19406.51,2846.04,15465.06,1095.41,N
08/11/2021 03:30,19340.55,2777.21,15477.45,1085.89,N
08/11/2021 03:35,19260.41,2731.46,15440.49,1088.47,N
08/11/2021 03:40,19115.1,2673.18,15360.28,1081.64,N
08/11/2021 03:45,19007.27,2612.45,15322.2,1072.62,N
08/11/2021 03:50,18938.37,2592.09,15269.51,1076.77,N
08/11/2021 03:55,18812.62,2552.53,15181.47,1078.62,N
