INTERVAL_ENDING,SYSTEM_WIDE,LZ_SOUTH_HOUSTON,LZ_WEST,LZ_NORTH,DSTFlag
08/11/2021 16:00,15054.78,3480.65,10690.61,883.52,N
08/11/2021 16:05,15148.94,3544.83,10689.03,915.07,N
08/11/2021 16:10,15166.43,3565.64,10694.35,906.43,N
08/11/2021 16:15,15221.16,3649.57,10685.67,885.93,N
08/11/2021 16:20,15417.54,3765.28,10768.16,884.09,N
08/11/2021 16:25,15423.27,3796.46,10741.05,885.76,N
08/11/2021 16:30,15514.64,3812.59,10828.4,873.65,N
08/11/2021 16:35,15622.36,3884.86,10868.43,869.06,N
08/11/2021 16:40,15574.62,3906.73,10816.87,851.02,N
08/11/2021 16:45,15464.81,3905.34,10740.98,818.49,N
08/11/2021 16:50,15345.7,3938.36,10609.74,797.59,N
08/11/2021 16:55,15452.56,3974.48,10656.86,821.22,N
