IntervalEnding,Coast,East,FarWest,North,NorthCentral,SouthCentral,Southern,West,SystemTotal,Model,InUseFlag,DSTFlag
08/10/2021 22:05,17165.099609375,2226.3798828125,4335.02978515625,1685.40002441406,19596,9795.6201171875,4605.56005859375,1804.81005859375,61213.8984375,E,Y,N
08/10/2021 22:05,17180.3125,2231.56958007812,4338.0732421875,1682.53820800781,19639.021484375,9809.599609375,4614.82861328125,1807.50415039062,61303.44921875,A6,N,N
08/10/2021 22:10,17061.5,2202.9599609375,4329.97998046875,1674.88000488281,19454.099609375,9718.580078125,4576.6201171875,1791.68005371094,60810.30078125,E,Y,N
08/10/2021 22:10,17094.734375,2219.7919921875,4331.3427734375,1672.5712890625,19510.75390625,9748.837890625,4594.12646484375,1798.88232421875,60971.0390625,A6,N,N
08/10/2021 22:15,17009.658203125,2207.96362304688,4324.67626953125,1662.73229980469,19383.375,9687.74609375,4573.30712890625,1790.20727539062,60639.66796875,A6,N,N
08/10/2021 22:15,16971.30078125,2186.52001953125,4324.580078125,1665,19306.19921875,9649.76953125,4551.31005859375,1779.60998535156,60434.2890625,E,Y,N
08/10/2021 22:20,16925.087890625,2196.08422851563,4318.0732421875,1653.02136230469,19256.8828125,9626.3251953125,4552.37109375,1781.47900390625,60309.32421875,A6,N,N
08/10/2021 22:20,16891.5,2172,4321.35986328125,1657.18994140625,19174.5,9588.7900390625,4527.31005859375,1768.5,60101.14453125,E,Y,N
08/10/2021 22:25,16841.01953125,2184.15380859375,4311.53369140625,1643.43835449219,19131.279296875,9564.5732421875,4531.31787109375,1772.69763183594,59980.01171875,A6,N,N
08/10/2021 22:25,16813.30078125,2159.11010742188,4317.91015625,1649.15002441406,19045.80078125,9529.849609375,4502.75,1758.15002441406,59776.0234375,E,Y,N
08/10/2021 22:30,16757.45703125,2172.1728515625,4305.05859375,1633.9833984375,19006.564453125,9502.4921875,4510.14794921875,1763.86303710938,59651.73828125,A6,N,N
08/10/2021 22:30,16730.80078125,2144.96997070313,4312.41015625,1640.73999023438,18917.599609375,9466.919921875,4476.3701171875,1747.51000976562,59437.328125,E,Y,N
08/10/2021 22:35,16644.19921875,2129.21997070313,4304.85009765625,1632.88000488281,18791.599609375,9402.0498046875,4448.7900390625,1736.65002441406,59090.23828125,E,Y,N
08/10/2021 22:35,16674.396484375,2160.140625,4298.646484375,1624.65637207031,18882.736328125,9440.080078125,4488.86083984375,1754.97521972656,59324.4921875,A6,N,N
08/10/2021 22:40,16557.400390625,2111.97998046875,4295.91015625,1625.42004394531,18666.69921875,9340.25,4421.35009765625,1726.25,58745.26171875,E,Y,N
08/10/2021 22:40,16591.83984375,2148.05786132812,4292.298828125,1615.45739746094,18759.796875,9377.3388671875,4467.45703125,1746.03430175781,58998.28515625,A6,N,N
08/10/2021 22:45,16472.900390625,2097.06005859375,4286.72998046875,1617.59997558594,18538.5,9280.4404296875,4394.77001953125,1716.46997070313,58404.46875,E,Y,N
